"Ticker","Market Cap","Short Float","Relative Volume","Price","Earnings Date"
"GRBK",3127.12,4.21%,0.86,72.48,7/29/2026 4:30:00 PM
"GRMN",46869.84,2.39%,0.67,243.03,7/29/2026 8:30:00 AM
"GSIT",216.03,14.12%,0.28,5.63,7/30/2026 4:30:00 PM
"GSK",102843.78,0.69%,1.47,51.35,7/28/2026 8:30:00 AM
"GTES",6830.06,5.10%,0.92,26.89,7/31/2026 8:30:00 AM
"GTX",5898.31,3.08%,0.50,31.51,7/29/2026 8:30:00 AM
"GVA",5445.15,9.35%,0.67,124.47,7/30/2026 8:30:00 AM
"H",17620.46,11.19%,0.77,187.13,7/30/2026 8:30:00 AM
"HAPN",2083.24,4.70%,0.56,18.06,7/27/2026 4:30:00 PM
"HAYW",3130.78,5.16%,0.70,14.43,7/29/2026 8:30:00 AM
"HBM",9926.08,2.41%,0.67,22.35,7/29/2026 8:30:00 AM
"HBT",1211.13,3.34%,0.92,33.29,7/27/2026 8:30:00 AM
"HCM",1920.91,0.11%,1.01,11.01,7/30/2026 8:30:00 AM
"HGV",3838.62,8.93%,0.57,48.89,7/30/2026 8:30:00 AM
"HII",11332.20,2.60%,0.61,287.59,7/30/2026 8:30:00 AM
"HIPO",722.76,4.55%,0.65,27.76,7/30/2026 8:30:00 AM
"HIW",3710.68,9.41%,0.87,33.65,7/28/2026 4:30:00 PM
"HLI",9752.01,3.28%,0.80,140.23,7/29/2026 4:30:00 PM
"HLT",73978.89,2.28%,0.74,324.97,7/28/2026 8:30:00 AM
"HNI",2996.34,5.86%,0.88,41.62,7/30/2026 8:30:00 AM
"HOOD",85542.89,5.01%,0.86,94.91,7/29/2026 4:30:00 PM
"HOPE",1719.43,4.70%,1.06,13.45,7/27/2026 8:30:00 AM
"HR",7415.56,5.47%,0.51,21.40,7/30/2026 4:30:00 PM
"HRI",5429.38,6.82%,0.68,162.59,7/28/2026 8:30:00 AM
"HSY",35355.65,6.20%,0.94,174.30,7/30/2026 8:30:00 AM
"HTGC",2943.38,6.30%,0.65,15.73,7/30/2026 4:30:00 PM
"HTO",2671.08,13.59%,0.70,63.84,7/27/2026 4:30:00 PM
